,0,1,2,3,4
266,EFEDBAA,BBBBCFF,EEBEEAA,FFECBBA,AABCEFF
267,BAACFFF,FFEDCAA,ACEFEBA,AABEFEE,CCEECAE
268,AABCFEE,EFEECBA,DAACFFD,AABEEEF,EEEECAA
269,EFFDDAA,FAAFDDB,BCCABEF,FDEDCCA,CCBAEEE
270,FEEEBAA,AABDEFF,EDBABFF,FFEBBBA,AABCEFF
271,FFECBAA,ABBBDFF,EEBEDAC,FFECBAA,BABCDFF
272,FEDDBAA,AABDEFE,ECAACFF,FDBACDD,BDCEDBC
273,FECBABD,AACDDFF,FEBABDE,EEEECAA,EEDBABF
274,AACFEED,FEEECAA,BDEFEBA,AABEEFE,EEFEBAA
275,ACFFEBB,EDEFDAA,BBBBEFF,EFEDCAA,DBABDEF
276,EFFDBAA,BBABDFF,EEFEBAA,FFCABBE,AABDEFE
277,CDCCEAE,CAFCCFD,BCACEDF,CECFBAD,AEBEDDC
278,EBABDEF,DEEEDBA,CBDFECA,AACDEEE,FFECBAB
279,DBABEEF,EEEDCAA,ABCEFEC,BABDFFE,FFDCCAC
280,AACDEFF,FFDAABD,ABBDFEE,FFDAABE,EFDCDCA
281,DEFEDBA,EFFEBAB,EFFCAAC,ABEFFDA,ABBCEFF
282,BCCAFFC,AADFEDC,ABCEFEC,CBABEFD,ABEECFC
283,FBADEDC,BABCDFF,CDBADFC,FFDBBBB,EFDDCAB
284,FCBCEDB,BAACEFF,CBBACFF,FFEDBAA,BCEFECA
285,ABCBDFF,FDEECBA,ABBCDFF,FFDBABC,CFFCADA
286,CFFECAA,AABCEFF,FEBBABE,FFEDBAA,AABDEFF
287,FEDDAAB,AACDEEF,DEFDAAC,FFEDCBA,CBABDEF
288,FEBBDBC,EEEEDAA,ABDFFDB,BAADEFF,FEDDAAE
289,DDDEFBA,BFDBADF,AABDEFF,EFDBABF,CACFFCB
290,CCCDFCB,AADEEEE,FEBABED,FEBBBCC,ABACEFF
291,ACDFBEE,DBFFDAA,BBBBDFF,FFECBAA,BEACFDC
292,FFEDBAA,AABCEFF,EEFBABC,FFEDBBA,BABCEFF
293,EFEDBAA,CBBBCEF,EBABFED,FFEDBAA,AABCEFF
294,FEEDCAA,AABCEFF,FEDBABD,FEEDCAA,BBACEEF
295,FCAABEE,DDEEEBA,AACFFEB,AACDEFE,FFDBAAD
296,BDBEADF,CAADFFD,BBBBDFF,FEDDAAD,ECACFDB
297,FFDCAAB,CEEDABE,DCBEFBA,EEAACDF,BBBBDFF
298,FFDCAAC,CFEECAA,BABCFFE,FEBABCE,ACBCDEF
299,EDCBDAF,FFECBBA,ABEEFDB,AABCEFF,FEACCCB
300,FEDDABB,AABCEFF,FEDBABD,FFEBABB,BBBCCEF
301,BBCCFEB,AEFBADE,BABBDFF,FFEDBAB,EEACFBB
302,FFCBABC,ABCEFFC,EBACFEB,ADFEDCB,DCBABDF
303,CFFECBA,AABCEFF,FECBABE,FFEDBAA,AABDEFF
304,DCEBAFD,AACFFEC,ABBEFEC,DDEFDAA,BEFBDDA
305,DBABDFF,EEEEDBA,ABDFFDB,AABDEEF,FEEEBAB
306,CDEECAD,CADEBEF,CEECADB,DFCCFAA,EBAEFBD
307,DECCFBA,EDAADFD,EEECABB,EEDCFBA,EDBFCAE
308,DBABDFF,BBBBDEF,BDFDACF,FFEDBAA,BCDFFAB
309,FEBBBCB,AABDEFF,EEBACFC,FFDCBAB,FEECAAD
310,CBBADFF,EDEECBA,ACEFECA,ABCDFFD,EFFCABB
311,DAFDAED,BEFACEC,CDABBFF,DBDFBBD,BCEABEE
312,FFECAAB,BCFFCAC,BBADFEC,FEAABCE,AABCEFF
313,ACDFDCE,EABECDF,ABDFFDC,DDECABF,EBBEFAB
314,AACDDFE,FFDBAAB,ACEFECA,BABBEFF,FFDBBBB
315,DFEDBAA,ABEDCDF,FCAACED,BBABEFF,BABDEEF
316,FFDDAAC,BAAEFED,EFFBABD,EDBEFCA,BDCAEEF
317,BEFADCC,ABBDEFE,EFFCAAB,ECDFAAD,DDABEFE
318,FFECBAA,AABCEFF,FDCEAAE,FFEDCAA,AABCEFF
319,ABDEEEE,FFECAAC,ACEFEDB,FDBABDF,CDEEEDA
320,FBABCEF,DBDBADF,EEBBAEF,FECBBBD,FFECAAC
321,DFEEBAB,ACBBFEE,FDADDAC,DFFBBBB,CDCADEF
322,FFECBAA,BBBBDFF,FDBECAD,FFECBAA,BBBCDFF
323,EFEDBAA,ADEFECA,BAACFFE,FFECAAB,AABCEFF
324,ACEFECB,FEEDCAA,ABCDFED,CBACEFF,FDCCECA
325,FFDDBAA,DDFEBAB,BCECBBF,EECEECA,AABDEEF
326,AADEEEE,FFECBAB,CEFFCAA,AABDEFF,EEEDDBA
327,ACBFFBC,FEABECC,CAABEFF,FEEAACE,BAEFCCE
328,AACDEFF,FFEBAAC,ACDFFCB,DCAACEF,FEEDCAA
329,FFECBAA,AABDEFF,FECABDC,FEEECBA,AABCDFF
330,CBEEFCA,AABCEFF,EFEBABC,EFFDBAA,AABCEEF
331,CFFECAA,AABDEFF,FECBABE,FFEDBAA,AABDEFF
332,EBABDEF,DEEEEBA,AABDFFD,AAEFEDC,DBBBDCF
333,FEBBBCD,BDEEEDA,AACEFEC,AACEEEE,EECAABF
334,ABCDEEF,FECAACD,ADDFEBB,EEBAADF,FFDCBAA
335,EFECDAA,EBDCACF,FDBACEC,CEFCBDA,BBBBEFF
336,CBBADFE,DCFECBA,BACFFDB,ABDCEFE,EEFEBAA
337,FCBCBBE,EEEEDAA,BCFFEBA,AACEEEE,FEBABCE
338,FFDCBBB,ABBBEFF,EEDFBAB,EFEECAA,BBBBDEF
339,ABDEEEE,FEEDBAA,ABCEFDC,FDAACEE,CDEEFCA
340,AABCEFF,EEFDCAA,ABCEFEC,CAACDFF,EEEFCAA
341,FEDCABB,AABDEFF,FFECDCA,BBDFFCA,BBBBDEF
342,AAADFEE,EFEDDBA,ABCEFED,CBACEEF,EDEFDAA
343,AADEEEE,FEEDBAA,ABBCFFE,EDAABDF,BDDDEEA
344,FEECABB,FEEEBAA,CEFFCBA,AABEEEE,BBADCDF
345,DFEDCAD,FDDBABE,ECBACFE,CEFFCAA,ACDADEF
346,CFFECAA,AABCEFF,FEBABCF,FFEDBAA,AABDEFF
